Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	29.585186	18.92965	107.0	8.0	29.585186	0.021389531	0.20861737	0.883734	-0.87033755	4000	-0.014052391	503.1068	-0.0032231342	-268.42902	0.68556386	0.00044584778	68.30530405044556
1	27.816902	15.545762	110.0	10.0	27.816902	10.602173	1.4916515	15.324841	0.9277413	8000	-0.013782271	171.20634	-0.0025533708	-46.41568	0.6830214	0.00027227082	135.63898992538452
2	30.083334	18.416084	118.0	10.0	30.083334	16.223278	3.664915	20.185265	-6.505921	12000	-0.022452686	172.37134	-0.003398152	-14.275711	0.68400484	0.0006066638	203.88247179985046
3	32.096775	21.325972	136.0	8.0	32.096775	17.740978	2.980375	20.84202	-4.5625024	16000	-0.017953036	192.23946	-0.0026108325	-23.944199	0.6784204	-0.00024126277	271.3539230823517
4	31.15748	17.87332	95.0	9.0	31.15748	18.662762	5.5376387	24.805658	-6.4422927	20000	-0.024784736	131.07594	-0.0027887132	-6.6973343	0.67736095	7.737084e-05	332.8714258670807
5	34.52174	19.677994	102.0	9.0	34.52174	18.567333	5.1339254	25.097628	-5.137974	24000	-0.031226033	151.24973	-0.002874175	-8.781479	0.67821544	9.152034e-05	344.87674498558044
6	34.38261	21.4596	102.0	10.0	34.38261	19.5357	5.849996	26.334478	-5.632394	28000	-0.033272088	174.95291	-0.0025374182	-18.983688	0.6754463	7.491513e-05	358.72414779663086
7	31.370079	16.811508	99.0	11.0	31.370079	20.241945	5.8862987	26.562466	-5.909322	32000	-0.041295286	112.22422	-0.0030189157	-10.033363	0.679397	0.00055486173	378.3491508960724
8	36.633026	25.839186	181.0	10.0	36.633026	17.916187	5.9145703	25.123098	-6.284188	36000	-0.03478689	245.6144	-0.0025276765	-25.078705	0.6711351	2.1197546e-05	388.6705870628357
9	38.432693	24.88503	150.0	10.0	38.432693	22.133364	7.0550737	29.02987	-3.3495536	40000	-0.04184791	184.783	-0.0023616776	-9.348755	0.66650236	-0.00024070457	399.33661103248596
