Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	28.55	16.59618	84.0	9.0	28.55	-0.00740055	0.17962031	1.0961479	-0.64282805	4000	-0.015249425	431.1848	-0.0029375115	-250.07147	0.68592757	0.00024217031	69.55426216125488
1	29.007353	16.735176	110.0	10.0	29.007353	10.818115	0.5367135	12.088838	8.038425	8000	-0.016020732	194.54616	-0.002684949	-55.392212	0.6852283	0.00032895975	136.72412538528442
2	27.260275	16.02398	83.0	9.0	27.260275	16.960005	3.9355538	20.88772	-6.565721	12000	-0.025145039	141.43604	-0.003128104	-6.956848	0.68689626	0.00061735854	195.15278911590576
3	30.868217	18.890701	104.0	9.0	30.868217	16.565903	2.6106808	18.960676	-2.8917134	16000	-0.01380711	165.75731	-0.0020710072	-17.760971	0.6778213	-0.00010550985	223.10981106758118
4	32.661156	17.335558	83.0	11.0	32.661156	18.064167	3.889958	21.797396	-7.0837045	20000	-0.025494255	130.06543	-0.0028842892	-8.093208	0.6785388	0.00014003484	264.80398631095886
5	31.736	16.61428	81.0	10.0	31.736	18.270363	4.83843	23.204285	-5.6662836	24000	-0.03178463	120.89231	-0.003052175	-7.9239426	0.6785729	0.00036530916	306.5406620502472
6	32.311474	21.145895	127.0	10.0	32.311474	17.796656	5.316374	23.42005	-6.741467	28000	-0.029820852	177.31638	-0.0026618354	-14.9930725	0.67622805	0.00026747806	319.5449893474579
7	31.563492	19.32779	105.0	11.0	31.563492	19.515774	6.081995	25.659037	-2.8984938	32000	-0.03703076	145.29762	-0.0027980283	-9.134933	0.6766492	0.0004741599	354.41771817207336
8	36.018017	25.211174	142.0	10.0	36.018017	19.37304	5.9684772	25.245808	-0.2683501	36000	-0.03790956	204.21745	-0.0028423257	-20.760895	0.6718715	0.00016336936	377.24936509132385
9	38.058254	24.245037	128.0	9.0	38.058254	21.156145	7.8180904	29.10862	-2.6522126	40000	-0.04349095	189.62778	-0.0025739186	-11.615845	0.66667515	-5.2140043e-05	387.690327167511
10	35.15929	21.828196	122.0	10.0	35.15929	23.047274	7.943734	30.28814	-1.658734	44000	-0.046705436	164.55165	-0.002824083	-13.866211	0.6725804	0.00043973917	398.6281569004059
11	39.49505	27.224997	155.0	10.0	39.49505	20.91384	7.56259	28.536972	-0.35162503	48000	-0.04609313	225.47394	-0.0024273023	-16.799377	0.66496277	9.591246e-05	409.49665212631226
12	41.541668	26.554548	131.0	10.0	41.541668	23.122301	8.413269	31.167429	0.32715225	52000	-0.04558896	194.67061	-0.0022381283	-3.3418884	0.6585456	-8.4639454e-05	419.8315100669861
13	41.69149	27.4331	135.0	12.0	41.69149	24.249891	8.420677	31.818472	0.7362238	56000	-0.04613612	226.03044	-0.0025514103	-7.2777863	0.6628178	0.00025384242	431.3952331542969
14	48.82716	29.44876	161.0	15.0	48.82716	25.49051	8.152192	32.83302	-0.29328737	60000	-0.046701103	231.53119	-0.001927387	-19.828339	0.653705	-0.00040795136	442.49896812438965
15	50.455696	31.705046	177.0	13.0	50.455696	25.640314	9.852108	35.414482	-1.821611	64000	-0.04795059	281.16663	-0.002007898	-20.87558	0.6554353	-0.0001460099	454.92169213294983
16	42.91398	29.072641	133.0	11.0	42.91398	26.062014	9.165417	35.473534	0.94243324	68000	-0.055785403	234.84402	-0.002010323	-13.566483	0.65914404	0.00025776427	467.5369760990143
17	47.54762	31.471228	167.0	12.0	47.54762	24.908234	9.272086	34.53149	0.69656795	72000	-0.052411888	269.42526	-0.0018956363	-24.159943	0.6536019	-3.671923e-05	481.0988233089447
18	50.974358	33.437263	153.0	10.0	50.974358	25.813503	9.405022	35.864567	0.36672592	76000	-0.054476805	272.2277	-0.0019926317	-23.507553	0.65227	4.6730415e-07	501.3747582435608
19	50.037975	32.409737	162.0	11.0	50.037975	29.834743	9.38138	37.69646	0.59615296	80000	-0.05219333	252.4236	-0.0019303039	-13.231308	0.6500017	6.8731846e-05	518.40052318573
20	55.11111	29.312283	131.0	13.0	55.11111	26.601551	10.050193	36.84345	1.1891943	84000	-0.055463158	218.20703	-0.0018464774	-6.524002	0.6499364	8.837236e-05	542.9751722812653
21	55.59155	35.71782	179.0	12.0	55.59155	28.065231	9.424287	36.943203	0.6650263	88000	-0.05000214	274.92838	-0.0019409619	-19.42749	0.64550453	0.00014055804	571.5441861152649
22	56.62857	34.717297	168.0	13.0	56.62857	30.599014	10.137114	41.35863	-0.94998777	92000	-0.0575992	243.78537	-0.0016748719	-23.413254	0.6472672	7.034387e-05	599.8360171318054
23	57.855072	37.070347	187.0	10.0	57.855072	28.379543	11.729791	41.281803	-0.19326031	96000	-0.055228695	288.513	-0.0018557832	-25.122711	0.64694846	0.00029773728	633.7595012187958
24	55.430557	34.4665	147.0	11.0	55.430557	30.00363	10.574125	42.23137	2.5061393	100000	-0.060258064	248.77509	-0.0018087998	-21.083588	0.64235955	0.00022210543	658.9605941772461
